title,company,category,status,min_edu,min_exp,description,url
Terminal Assisstant Supervisor,PT. EASYBOOK TEKNOLOGI INDONESIA,Operations,Full-Time · On-site,Minimum Bachelor’s Degree,1 - 3 years of experience,"Job description for Terminal Assisstant Supervisor at PT. EASYBOOK TEKNOLOGI INDONESIAEasybook Teknologi Indonesia is currently seeking a Terminal Assisstant Supervisor to responsible on overall terminal performance, operations and reports and reporting to Regional Operation Trainer.The Terminal Supervisor has main duties of:- Supervise performance of assigned Terminal to accomplish following organizational requirements and procedures.- Collaborate with other managers or staff members to formulate and implement policies, procedures, goals, or objectives. - Responsible to manage external parties visits (government visitors) in the assigned Terminal- Monitor operation cost based on approved budget.- Monitor cash collections, transfers and prepare for finance reports.- Managing team schedule. - Any ad hoc tasks assigned by superior from time to time. Read Less",https://glints.com/id/en/opportunities/jobs/terminal-assisstant-supervisor/57b78012-e20a-42b6-ae02-e4fc72c705af?utm_referrer=explore&traceInfo=45b6989a-5a06-49a6-8d2f-ef549d176ce5
ADMIN MARKETPLACE,CV ABADI TUNGGAL JAYA PERKASA,Operations,Full-Time · On-site,Minimum Senior/Vocational High School,1 - 3 years of experience,"Job description for ADMIN MARKETPLACE at CV ABADI TUNGGAL JAYA PERKASAKualifikasi :- Pria/wanita- Pendidikan min SMA Fresh Graduate Dipersilahkan- Usia max 27 tahun- Diutamakan memiliki pengalaman sebagai Admin Marketplace minimal 1 tahun- Teliti, jujur, mandiri, bisa cepat beradaptasi dan mau belajar- Domisili BandungDeskripsi pekerjaan :- Menjawab pesan dari konsumen di platform marketplace- Memberi penjelasan seputar produk pada konsumen yang bertanya-Melayani komplain dan feedback yang diterima dari konsumen- Meng-upload foto dan informasi produk yang baru dirilis ke platform marketplace- Mengecek persediaan barang dan memperbarui jumlah stok di setiap platform marketplaceADMIN MARKETPLACE Read Less",https://glints.com/id/en/opportunities/jobs/admin-marketplace/5053c4f5-f56b-4b70-b9b6-bd7f8da792bf?utm_referrer=explore&traceInfo=45b6989a-5a06-49a6-8d2f-ef549d176ce5
Area Control,Geprek Gold Chick,Operations,Contract · Hybrid,Minimum Senior/Vocational High School,1 - 3 years of experience,"Job description for Area Control at Geprek Gold ChickQualification : - Min pendidikan SMA/SMK- Berpengalaman dibidang F&B >3 tahun khususnya pernah menjadi kepala toko- Menguasai operasional outlet - Mampu memimpin tim dan memiliki analisa yang baik- Memahami inventori dan administrasi outlet - Menguasai Ms Office - Berpengalaman di fried chicken menjadi nilai tambah  Jobdesk : - Memperhatikan seluruh kinerja karyawan untuk bekerja sesuai SOP - Memastikan grooming karyawan sesuai SOP - Mendisiplinkan karyawan yang tidak bekerja sesuai SOP - Melakukan pendataan dan pemantauan terhadap ketersediaan bahan baku- Memastikan standar kualitas terpenuhi dalam semua aspek persiapan makanan dan minuman- Memastikan standar pelayanan pelanggan terpenuhi dan menjaga kepuasan pelanggan.- Membuat laporan terkait kondisi dan situasi seluruh outlet yang menjadi areanya (kebersihan, SDM, kualitas produk, & penanganan keluhan pelanggan) - Melakukan pelatihan reguler untuk staf F&B tentang prosedur operasional standar, keamanan makanan, dan pelayanan pelanggan.Read Less",https://glints.com/id/en/opportunities/jobs/area-control/f7bf4c28-179c-4784-9dd7-265d6c617020?utm_referrer=explore&traceInfo=45b6989a-5a06-49a6-8d2f-ef549d176ce5
National Operation Manager (Outsourcing Company),PT SIPRAMA CAKRAWALA,Operations,Full-Time · On-site,Minimum Bachelor’s Degree,1 - 3 years of experience,Job description for National Operation Manager (Outsourcing Company) at PT SIPRAMA CAKRAWALAPria/Wanita Max.40thnPendidikan Min. D3/S1Berpengalaman di bidang outsourcingBerpengalaman menjadi manajer operasional skala nasionalBerpengalamann di posisi sederajat minimal 2 tahunBerjiwa leadership dan terbiasa memimpin tim operasionalTerbiasa handle lebih dari 5 project di perusahaan outsourcingTerbiasa membuat dan melakukan business review projectMahir MS. Office terutama Ms. ExcelRead Less,https://glints.com/id/en/opportunities/jobs/national-operation-manager-outsourcing-company/811b180c-7b7c-4927-a618-dc5de7223b25?utm_referrer=explore&traceInfo=45b6989a-5a06-49a6-8d2f-ef549d176ce5
Field Operational Staff,PT. Sumber Prima Aneka Cemerlang,Operations,Full-Time · Hybrid,Minimum Senior/Vocational High School,Less than a year of experience,"Job description for Field Operational Staff at PT. Sumber Prima Aneka CemerlangRingkasan Pekerjaan:Peran ini ideal untuk individu yang nyaman bekerja di lingkungan yang dinamis dan menikmati pekerjaan di luar kantor. Sebagai Staf Operasional Lapangan, Anda akan bertanggung jawab untuk melakukan survei lapangan di berbagai lokasi, menilai potensi peluang bisnis laundry dan mengumpulkan wawasan tentang pesaing. Hasil temuan Anda akan sangat penting dalam membentuk strategi bisnis kami.Tanggung Jawab Utama:Survei Lokasi dan Pesaing:Melakukan survei langsung di lokasi untuk mengevaluasi potensi tempat usaha.Mengamati dan mendokumentasikan aktivitas pesaing dan kehadiran pasar.Mengumpulkan wawasan tentang kondisi bisnis, demografi konsumen, dan potensi hambatan/tantangan.Pengumpulan Data dan Pelaporan:Mengumpulkan data dari lokasi yang disurvei dan menyusun temuan dalam laporan yang jelas dan akurat.Menyampaikan wawasan dan rekomendasi berdasarkan data lapangan untuk mendukung pengambilan keputusan.Menyediakan laporan lisan dan tulisan dari observasi dan memberikan saran.Komunikasi dengan Pemangku Kepentingan:Berkomunikasi secara efektif dengan anggota tim dan manajer mengenai temuan lapangan.Membangun hubungan baik dengan kontak terkait di lapangan.Menyampaikan temuan dan memberikan update dengan jelas dan profesional.Kerja Lapangan Dinamis:Melakukan kunjungan ke berbagai lokasi di area Jakarta dan sekitarnya.Fleksibel dan responsif terhadap perubahan jadwal dan penugasan lokasi.Menjalani peran yang membutuhkan aktivitas fisik dan perjalanan dalam wilayah.Kualifikasi:Pendidikan SMA/setara atau sarjana di bidang bisnis, pemasaran, atau bidang terkait lainnya.Pengalaman terbukti dalam pekerjaan lapangan, peran operasional, atau posisi terkait.Memiliki SIM C dan motor untuk mobilitas survei.Keterampilan komunikasi dan interpersonal yang kuat.Teliti dengan keterampilan organisasi yang sangat baik.Kemampuan bekerja mandiri dan mengatur waktu secara efektif.Kemampuan dalam alat pengumpulan data dasar dan pelaporan (Microsoft Excel, Google Sheets, dll.).Familiar dengan area Jakarta Barat dan sekitarnya adalah nilai tambah.Keahlian yang Diutamakan:Pengalaman di bidang bisnis laundry.Pengalaman dalam survei bisnis atau riset pasar.Pengetahuan dasar tentang analisis pesaing dan dinamika pasar.Memiliki kemampuan bahasa Inggris dasar.Read Less",https://glints.com/id/en/opportunities/jobs/field-operational-staff/711d5a05-c1f1-4dfe-9482-38ca89c7fe76?utm_referrer=explore&traceInfo=45b6989a-5a06-49a6-8d2f-ef549d176ce5
Freelance Surveyor Surabaya,PT Paragon Pratama Teknologi (StickEarn),Operations,Freelance · On-site,Minimum Senior/Vocational High School,1 - 3 years of experience,"Job description for Freelance Surveyor Surabaya at PT Paragon Pratama Teknologi (StickEarn)Job Description:Doing research through photos or videos with OOH and DOOH advertising objects (documentation)Report the documentation from each trip every day according to the route that has been determinedUpload photos or videos with OOH and DOOH ads objects to the provided applicationJob Requirements:All majors are welcomed, preferably last year studentsSelf-motivated & committed personCreativeAble to think fast and make calculated decisionsHave excellent communication skillCustomer service-orientedRead Less",https://glints.com/id/en/opportunities/jobs/freelance-surveyor-surabaya/7a9a62e1-52c5-4906-a66a-d0151b4ce9ff?utm_referrer=explore&traceInfo=45b6989a-5a06-49a6-8d2f-ef549d176ce5
E-Commerce Specialist,PT Astoria Prima,Operations,Full-Time · On-site,Minimum Bachelor’s Degree,1 - 3 years of experience,"Job description for E-Commerce Specialist at PT Astoria PrimaJob DescriptionsInspecting landing pages, product information, checkout options, and all other pertinent website-related systems to ensure their visual appeal, accuracy, and ease of use.Assisting with decisions about promotions such as discounted offers and affordable bulk packages.Ensuring that payment options and promotional tabs are configured correctly.Collaborating with appropriate stakeholders to ensure the rollout of website changes.Inspecting and uploading customers' product reviews.Monitoring website traffic and customer reviews to gauge responses to site updates.Teaming up with our SEO Specialists to increase the online presence of our website.Scheduling and communicating intensive site maintenance, as needed.Analyzing sales-related data to predict future sales and concomitant stock requirements.Job RequirementsDegree in information technology or a relevant business subject.Demonstrable experience as an e-commerce sssociate.Knowledgeable about consumer preferences, particularly as these relate to e-commerce.Unrivaled organizational, teamwork, and quality assurance skills.Phenomenal market research skills.Superb data analysis and report writing abilities.A stickler for precision, creativity, and excellence.Eager about the role of technology in promoting business.Read Less",https://glints.com/id/en/opportunities/jobs/e-commerce-specialist/ea8d99dc-6584-43f2-8ac4-252979588f6b?utm_referrer=explore&traceInfo=45b6989a-5a06-49a6-8d2f-ef549d176ce5
Project Operation,Pt. Star Speedy Growth,Operations,Contract · On-site,Minimum Associate Degree,1 - 3 years of experience,"Job description for Project Operation at Pt. Star Speedy GrowthRequirements:- Must fluent in English (Spoken and written)- Having no experience are welcome- Strong interest in influencer marketing, digital media, and live streaming- Excellent communication skills, both written and verbal- Proficiency in Microsoft Office Suite (Word, Excel, PowerPoint)- Familiar with social media platforms and live streaming- Enthusiastic, self-motivated, and eager to learn Responsibilities:- Assist in the identification and research of potential Key Opinion Leaders (KOLs) in the industry- Support the development and implementation of KOL engagement strategies- Coordinate outreach and communication with KOLs through various channels (email, social media, etc.)- Assist in the negotiation and management of contracts or agreements with KOLs- Stay up-to-date with industry trends, competitor activities, and best practices in KOL marketing- Responsible to maintain and manage the operation for live streaming day to day in Tiktok- Explore new campaign strategies and models, plan and launch live streaming campaignsRead Less",https://glints.com/id/en/opportunities/jobs/project-operation/4ccbb0f2-395f-49f2-a833-37a6032d9ed0?utm_referrer=explore&traceInfo=45b6989a-5a06-49a6-8d2f-ef549d176ce5
Driver & Fleet Management Coordinator,Mostrans Global Digilog,Operations,Full-Time · On-site,Minimum Bachelor’s Degree,1 - 3 years of experience,"Job description for Driver & Fleet Management Coordinator at Mostrans Global DigilogMemaksimalkan penggunaan truk dan mengoptimalkan rute untuk efisiensi bahan bakar.Monitoring jadwal service, dokumen kendaraan, dan biaya operasional setiap unit.Mengatasi kendala operasional, termasuk tilang, dan mengurus perpanjangan STNK serta KIR.Mengelola administrasi terkait driver, termasuk rekrutmen, tugas, dan kinerja mereka.Memastikan kendaraan dan driver dalam kondisi optimal sebelum menerima Delivery Order (DO).Memberikan safety induction dan pengarahan aplikasi untuk driver baru.Mengajukan Surat Perintah Kerja (SPK) perbaikan unit, uang jalan, serta memastikan nominal TKBM sesuai lokasi muat/bongkar.Kualifikasi:S1 Semua JurusanMin. 2 tahun sebagai Driver & Fleet Management Coordinator di perusahaan TransportasiMemiliki kemampuan komunikasi, leadership, problem solving, negosiasi, customer orientation yang baikMemiliki integritas, etos kerja yang baik, serta kepatuhan terhadap peraturan dan regulasi industriPenempatan: Pulomas, Jakarta Timur
*Gaji yang disebutkan tidak mencerminkan standard gaji di perusahaan kamiRead Less",https://glints.com/id/en/opportunities/jobs/driver-and-fleet-management-coordinator/cb0b6e0f-6d14-47b4-8dd5-607956636cfc?utm_referrer=explore&traceInfo=45b6989a-5a06-49a6-8d2f-ef549d176ce5
IT Customer Service,Pt Arranet Indonesia Sejahtera,Operations,Full-Time · On-site,Minimum Bachelor’s Degree,Less than a year of experience,"Job description for IT Customer Service at Pt Arranet Indonesia SejahteraA. KualifikasiKualifikasi untuk jabatan ini adalah:Minimal pendidikan S1 semua jurusanDiutamakan memiliki pengalaman kerja minimal 1 tahun pada industri Financial teknologi sebagai IT helpdesk,IT support atau posisi lain yang setara / atau yang berkaitan dengan pelayanan pelanggan.Memiliki kemampuan komunikasi yang baik dan rasa empati yang tinggi kepada pelanggan.Memiliki pemahaman dasar software pada PC dan smartphone melingkupi : sistem operasi (windows, windows server, dan android), browser, dan konfigurasi internet.Memiliki kemampuan untuk bekerja dalam tim dan berkolaborasi.Memiliki keterampilan analisa untuk mengidentifikasi akar penyebab masalah. Memiliki fleksibilitas dalam menangani situasi pelanggan yang beragam.Pemahaman tentang troubleshoot network pada windowsfamiliar dengan web server IISbersedia shiftingRead Less",https://glints.com/id/en/opportunities/jobs/it-customer-service/3055e2bf-16dc-4405-ae46-aa2c884bb750?utm_referrer=explore&traceInfo=45b6989a-5a06-49a6-8d2f-ef549d176ce5
Software Implementor Product Delivery,PT Cartenz Technology Indonesia,Operations,Full-Time · On-site,Minimum Associate Degree,1 - 3 years of experience,"Job description for Software Implementor Product Delivery at PT Cartenz Technology IndonesiaHi Good Talent!Cartenz Group is a leading ICT company with a core business of technology solutions. We currently have job vacancies for: Product Delivery - TECHNICAL SUPPORT OPERATION Responsibilities:· Testing & QA Application· Training Application to User· Input data to ApplicationQualifications :· Min. D3 Computer, Engineering and equivalent graduates· Minimum 2 years working experience· Proficient in Microsoft Office (Excell, Word and Power Point)· Familiar with SQL server, mysql, oracle dan Postgreed· Proactive & Fast Learner· Good Communication Skills· Ready to go on a business trip· Able to work in a team or independently· Understanding server and network infrastructure (mikrotik,sisco)· Familiar with Windows Server OS, Linux Centos version 7Read Less",https://glints.com/id/en/opportunities/jobs/software-implementor-product-delivery/78c881fe-b1a2-4a6e-8c88-7dec33afcfab?utm_referrer=explore&traceInfo=45b6989a-5a06-49a6-8d2f-ef549d176ce5
Tim Pemasangan,PT Owens Sarana Asiapasifik,Operations,Full-Time · On-site,Minimum Senior/Vocational High School,1 - 3 years of experience,Job description for Tim Pemasangan at PT Owens Sarana AsiapasifikJobdescription :Melakukan pemasangan genteng sesuai dengan standart perusahaanMelaporkan progress pekerjaan setiap hari kepada divisi projectMelakukan pengecekan saat pemasangan genteng dan memastikan genteng terpasang sesuai standartMelakukan koordinasi dengan tim externalMelakukan program K3 pada saat pemasanganKualifikasi :Tidak takut ketinggianDapat berkoordinasi dengan tim internal maupun tim externalMampu berkomunikasi dengan baikTerampil menggunakan alat pertukanganBersedia ditugaskan keluar kotaRead Less,https://glints.com/id/en/opportunities/jobs/tim-pemasangan/23890331-b663-49ea-80ac-4e99d92a9a0c?utm_referrer=explore&traceInfo=45b6989a-5a06-49a6-8d2f-ef549d176ce5
Office Assistant,Eline Bedding,Operations,Full-Time · On-site,Minimum Senior/Vocational High School,1 - 3 years of experience,"Job description for Office Assistant at Eline Bedding     Job Desk:Menjaga kebersihan serta kerapian showroomMembantu rekan kerja dan tugas-tugas  sesuai kebutuhan untuk memastikan kantor beroperasi dengan baik.Memberikan service yang bagus dan sopan kepada customerMemastikan perlengkapan dan kebutuhan kantorKriteria:Berpenampilan rapi dan sopanMenyukai kebersihanJujur, cekatan, disiplin, dan bertanggungjawabMemiliki SIM C yang aktif dan dapat mengendarai sepeda motor (menjadi nilai tambah)Read Less",https://glints.com/id/en/opportunities/jobs/office-assistant/06e52afb-6b23-4049-b4c4-efd404d20a3b?utm_referrer=explore&traceInfo=45b6989a-5a06-49a6-8d2f-ef549d176ce5
Operational Supervisor,Gemilang Arcade Group,Operations,Full-Time · On-site,Minimum Bachelor’s Degree,1 - 3 years of experience,"Job description for Operational Supervisor at Gemilang Arcade Group- Minimum Bachelor’s Degree (Any major)- Available to work on weekends- 100% ready to learn even when in underpressure- Minimum 2 years experience in Operational- Minimum 30 years old- Good attitude- Excellent leadership and decision-making skills- Strong project management, administrative management, and organizational skill- Able to adapt with work environment- Able to work based on datelines- Strong team working skill- Highly responsible- Highly effective in workingRead Less",https://glints.com/id/en/opportunities/jobs/operational-supervisor/1f204155-0115-4dcc-9de9-d91d99e05f3f?utm_referrer=explore&traceInfo=45b6989a-5a06-49a6-8d2f-ef549d176ce5
Operational Manager,Hipros,Operations,Full-Time · On-site,Minimum Senior/Vocational High School,Less than a year of experience,"Job description for Operational Manager at HiprosThis role is located in Muara Enim and will be resposible to arranging, operate, and monitor Driver. Hiring driver with qualification SIM B2 Umum.Requirements :Have a proven experience in logistics company.Having a connection to driver pool around Sumatera Selatan Area (Lampung, Palembang, Jambi, Bengkulu, Lubuk Linggau, Lahat).Willing to relocate to Muara Enim.Read Less",https://glints.com/id/en/opportunities/jobs/operational-manager/e1164bb4-389b-4ae9-8c8f-e7b25dd3638d?utm_referrer=explore&traceInfo=45b6989a-5a06-49a6-8d2f-ef549d176ce5
E-commerce Marketplace Coordinator,Estimo Look,Operations,Full-Time · On-site,Minimum Associate Degree,1 - 3 years of experience,"Job description for E-commerce Marketplace Coordinator at Estimo LookRequirements:1. Woman (max. 30 age)2. Min. Education high school / Associate Degree (D3)3. Good MS Office skills4. Good and active English language skills, both oral and written 5. Friendly, can promote products, provide good customer service, detailed, organized, analytical, and able to think critically 6. Have high motivation, take initiative, high discipline, attitude and honest7. Understand e-commerce features 8. Live streaming on all marketplace platforms 9. Fulltime (on site)10. Domicile BandungResponsibilities:1. Handle and manage E-commerce sales2. Inputting consumer order data3. Counting stock and daily recap4. Create daily and monthly reports5. Record items that need to be restocked6. Response to customers in E-commerce 7. Handling the campaign, create content, edit and upload content across all market platforms 8. Live streaming on all marketplace platforms 9. Follow up with customers for feedback and reviewsRead Less",https://glints.com/id/en/opportunities/jobs/e-commerce-marketplace-coordinator/95297f16-78ca-4729-aac7-6113cfce7e78?utm_referrer=explore&traceInfo=45b6989a-5a06-49a6-8d2f-ef549d176ce5
Packing / QC (JAKARTA BARAT),Beatrice Clothing,Operations,Full-Time · On-site,Minimum Senior/Vocational High School,Less than a year of experience,"Job description for Packing / QC (JAKARTA BARAT) at Beatrice ClothingPersyaratan :Wanita, usia maksimum 27 tahun Sehat jasmani, berpenampilan menarikTeliti dan Fokus bekerjaDapat kerjasama dengam teamPendidikan min. SMA/sederajatDiutamakan yang berpengalaman min. 1 tahunPenempatan : Head Office (Greenville, Jakarta Barat)Read Less",https://glints.com/id/en/opportunities/jobs/packing-qc-jakarta-barat/d476e4ed-ebec-426e-9772-a75d64ee1325?utm_referrer=explore&traceInfo=957533d6-1063-478f-8467-d1f7ebbb673d
Operation Team,Balitrip WIsata,Operations,Full-Time · On-site,Minimum Senior/Vocational High School,1 - 3 years of experience,Job description for Operation Team at Balitrip WIsataQualificationDedicatedEnglish proficiencyHave at least 1 year experience in the fieldRead Less,https://glints.com/id/en/opportunities/jobs/operation-team/68e272f0-bea7-41e1-b05a-90687ffcbb67?utm_referrer=explore&traceInfo=957533d6-1063-478f-8467-d1f7ebbb673d
Student Support,Growia Education,Operations,Full-Time · On-site,Minimum Bachelor’s Degree,1 - 3 years of experience,"Job description for Student Support at Growia EducationHello everyone, GROWIA is looking for an ""Student Support"" position to work with us!Job position: Student Support is the leading intermediary between the company and the students.Responsibilities :Act as Student's contact point to advise students on the company's educational programs, course consultation, and handling complaint/objectionStudent support in the online educational system (ie User LMS creation & address student's system troubleshooting)Assistance to speakers/mentors in providing feedback on homework to studentsAttending classes, communicating with students directly or indirectlyEnsuring and implementing the educational process (ie sending educational materials, controlling the schedule, motivating students to complete courses on time, etc.)Qualifications :1 - 2 years of experience in student/customer support in online education will be a significant advantageHigh level of client orientation and empathyAbility to multitask and quickly switch between different activitiesThink systematically and responsibly to treat work correctlyBe flexible and be able to establish contact with any person with internal & external partiesLiterate writing and speaking, the Indonesian language is a must & English proficiency is a mustExperience in the positions of client manager/consultant or teacher will be an advantage.Just to know – only candidates shortlisted will be contacted.Read Less",https://glints.com/id/en/opportunities/jobs/student-support/169e9165-a193-4ba7-9738-7aead2e659df?utm_referrer=explore&traceInfo=957533d6-1063-478f-8467-d1f7ebbb673d
Staf Operasional,PT Dewanti Anugerah Abadi,Operations,Full-Time · On-site,Minimum Associate Degree,Less than a year of experience,"Job description for Staf Operasional at PT Dewanti Anugerah AbadiStaf Operasional- Pria/Wanita- Pendidikan D3 Farmasi- Mampu dan bersedia bekerja berdasar target

Penempatan : PT Belle Amanah Sejahtera, SentoloRead Less",https://glints.com/id/en/opportunities/jobs/staf-operasional/501a2250-5d77-45ba-a373-341062cb4f54?utm_referrer=explore&traceInfo=957533d6-1063-478f-8467-d1f7ebbb673d
Field Collection Team Leader - SURABAYA,Kredivo Group,Operations,Full-Time · Hybrid,Minimum Bachelor’s Degree,5 - 10 years of experience,"Job description for Field Collection Team Leader - SURABAYA at Kredivo GroupPersyaratan:Minimal Pendidikan Diploma / SarjanaUsia maksimal 43 tahunMemiliki pengalaman sebagai Leader KolektorFamiliar dengan bidang bisnis FinTechBerpengalaman menangani +/- 10 Orang Field CollectorBahasa Inggris (Pasif)Memiliki kemampuan komunikasi dan Manajemen Tim yang baikMemahami wilayah Surabaya dengan baik Deskripsi pekerjaan :Kelola kinerja tim Collection sesuai target yang telah ditetapkanMengelola, melakukan pembinaan, dan problem solving bagi timMemastikan segala proses dan prosedur dijalan dengan baik dan memastikan tim memahamiMendorong produktivitas dan efektivitas tim Tinjau setiap kunjungan Kolektor dan memastikan tidak ada FraudRead Less",https://glints.com/id/en/opportunities/jobs/field-collection-team-leader-surabaya/8b37cf33-0dd4-41b7-9198-bb180cf15b58?utm_referrer=explore&traceInfo=957533d6-1063-478f-8467-d1f7ebbb673d
Supervisor E-Commerce,MOMELCA,Operations,Full-Time · On-site,Minimum Bachelor’s Degree,Less than a year of experience,"Job description for Supervisor E-Commerce at MOMELCAHello! Momelca Hiring for Supervisor E-CommerceJob Responsibilities :Oversee the day-to-day marketplace E-commerce operationsManage relationships with external third parties in the marketplace worldDevelop and implement ecommerce strategyResearch market in order to discover new trends and technologies in order to improve website performanceEnsure target achievement like: improving user experience, increasing website traffic & sales, developing brand loyalty.Maintain relationship with brand & platformHandling KOL and adsEnsure availability of store merchandise and store services still on high standards.Maintain stock availability & supervise purchase order.Maintain the stability and reputation of the store.Set standards, systems, and best practices for new product listings, content creation, distribution, and maintenance.Work closely with different teams to provide updated content that will be shared across e-Commerce platforms and ensure smooth order fulfillment.Job Requirements :Must have experience in Fashion IndustryMust have experience in e-commerce management for at least 1 year. Have a good knowledge about e-commerce/marketplace systems (Shopee & Tiktok)Have a good knowledge about handling KOL and adsHave the experience to handle the e-commerce/marketplace directly (Shopee & Tiktok)Knowledgeable of the e-Commerce space that includes marketing strategies, product development, competitive strategies, consumer research, industry trends and usability best practices.Knowledge of various platforms and online sales strategies and can be used to conduct digital sales or website conversions.Read Less",https://glints.com/id/en/opportunities/jobs/supervisor-e-commerce/842ade17-7a4d-441c-a9c0-08a820e753af?utm_referrer=explore&traceInfo=957533d6-1063-478f-8467-d1f7ebbb673d
Center Operation Intern,Wall Street English,Operations,Internship · On-site,Minimum Associate Degree,3 - 5 years of experience,"Job description for Center Operation Intern at Wall Street EnglishWhat you'll be doing:Arrange ET, Coaches, MA/RPC schedule every month.Assist Area Manager to do Center’s inspection/Audit, update TV, BDC Report, and several administrative things.Handle member related things (complain, member’s party, etc).Handle social media and produce engaging content.Oversee the center’s CCTV.Coordinate warehouse stock orders with CAD to ensure adequate supplies for center operations.Ensure PDAM (water), PLN (electricity), and IPL bills are paid promptly and accurately.We need a person who:Familiar with accounting report, social media and updating file to TVExperience with scheduling and organizing tasksDetail-oriented with strong organizational habitsFamiliarity with social media platforms and content creationModerate English proficiencyRead Less",https://glints.com/id/en/opportunities/jobs/center-operation-intern/582b2470-88d4-4c09-b034-7a3e89a767cd?utm_referrer=explore&traceInfo=957533d6-1063-478f-8467-d1f7ebbb673d
Manager Operation - Bali,Morula IVF Indonesia (PT. Morula Indonesia),Operations,Contract · On-site,Minimum Bachelor’s Degree,Less than a year of experience,"Job description for Manager Operation - Bali at Morula IVF Indonesia (PT. Morula Indonesia)Key Responsibilities:To create, develop and implement an operation strategic plan / initiatives and goals, policies to maximize revenue / business growth in accordance with company’s targets, planning cost management, and planning for human resources allocation budget, as well as applicable regulatory requirements.To lead, develop and build a high performing operation team committed to and engaged in the company’s target, vision, mission and value.To manage and maintain good relationships with doctors, customers, communities, corporations and governments.To ensure all operation licenses and permits and regulations are in line with laws and valid at all times.Conduct regular performance evaluations and provide feedback.Foster a positive work environment and promote teamwork.Develop and manage the clinic’s budget.Oversee billing, coding, and collections to ensure financial accuracy.Monitor financial performance and implement cost-control measures.Develop and implement policies and procedures to improve operational efficiency.Oversee daily operations of the clinic to ensure smooth functioning.Monitor clinic performance and address any operational issues promptly.Requirements:Strong business acumen, strategy thinking, and driving changes.Strong leadership, decision making, and developing others.Fluency in English is a must.Due to the high volume of application which we are experiencing, our team will only be in touch with you if your application is shortlisted.Read Less",https://glints.com/id/en/opportunities/jobs/manager-operation-bali/fa1b9e71-787e-4223-9703-2ffdbd6772c6?utm_referrer=explore&traceInfo=957533d6-1063-478f-8467-d1f7ebbb673d
Tim Operasional,Penerbit Wade Group,Operations,Full-Time · Remote/WFH,Minimum Senior/Vocational High School,1 - 3 years of experience,Job description for Tim Operasional at Penerbit Wade GroupQualifications: Wanita Work From Home Pengembangan karier Gaji 1.500.000/bulan Potensi Bonus 3.500.000Read Less,https://glints.com/id/en/opportunities/jobs/tim-operasional/6378360c-c015-4bea-aaf7-4c91532be327?utm_referrer=explore&traceInfo=957533d6-1063-478f-8467-d1f7ebbb673d
MANAGER OPERASIONAL,PT. Inti Fos Internasional,Operations,Full-Time · On-site,Minimum Bachelor’s Degree,More than 10 years of experience,"Job description for MANAGER OPERASIONAL at PT. Inti Fos InternasionalMemantau & mengevaluasi kinerja karyawan Mengelola & mengawasi proses pencapaian targetMemastikan pencapaian target setiap tim / departemenMenjaga, mengontrol & mengembangkan SOPBertanggungjawab terhadap proses manajemen secara keseluruhanMenyusun strategi untuk meningkatkan kinerja karyawanKoordinasi lintas departemenRead Less",https://glints.com/id/en/opportunities/jobs/manager-operasional/210f9066-0c35-4d10-be39-ab0e6dd7b63f?utm_referrer=explore&traceInfo=957533d6-1063-478f-8467-d1f7ebbb673d
Supporting,Ragdalion Technology,Operations,Full-Time · On-site,Minimum Senior/Vocational High School,Less than a year of experience,Job description for Supporting at Ragdalion TechnologyKualifikasi :Minimal pendidikan SMA/SMK sederajatKomunikatif Terbiasa dengan sosial mediaMemahami daily reportingDapat mengoperasikan komputer/PCMemahami MS. Office Read Less,https://glints.com/id/en/opportunities/jobs/supporting/7b5d95b9-d5f5-4734-ab04-152688690ca7?utm_referrer=explore&traceInfo=957533d6-1063-478f-8467-d1f7ebbb673d
Coordinator Operation (Account),PT Prima Vista Solusi,Operations,Full-Time · On-site,Minimum Bachelor’s Degree,1 - 3 years of experience,"Job description for Coordinator Operation (Account) at PT Prima Vista SolusiMenerima setiap request (pemasangan baru) dan complain untuk diteruskan ke tim Help Desk sehingga permintaan klien dapat terpenuhi.Melakukan validasi kelengkapan serta tipe EDC untuk setiap request.Memastikan tim Preparasi memiliki persediaan EDC untuk memenuhi permintaan klien serta melakukan request EDC serta kelengkapannya ke tim Aset.Menentukan prioritas untuk request dan complain yang diterima dari klien berdasarkan SLA dari setiap klien sehingga kegiatan operasional berjalan dengan lancar.Memeriksa laporan harian, mingguan, dan bulanan yang diterima dari tim Recon sebelum dikirimkan ke klien agar laporan sesuai dan akurat.Mengirimkan seluruh laporan untuk klien (harian, mingguan, dan bulanan) agar kegiatan penagihan dan laporan performance berjalan dengan lancar serta melakukan pengecekan ulang apabila ada sanggahan dari klien.Mengirimkan laporan ke Finance sebagai dasar untuk penagihan ke klien. Memotivasi, mengevaluasi, mengarahkan dan mengembangkan tim Account agar dapat bekerja dengan baik dan bersemangat.Kualifikasi:Pendidikan minimum S1 semua jurusan dengan IPK > 3.00Pengetahuan yang baik tentang MS Excel dan databaseBerorientasi pada detail, memiliki komunikasi yang baik dan keterampilan interpersonal, dan mampu bekerja di bawah tekananMemiliki pengalaman min 2 tahun sesuai dengan bidang yang dilamarRead Less",https://glints.com/id/en/opportunities/jobs/coordinator-operation-account/e5f8f898-bb9a-484c-a5a0-7e3403c55c32?utm_referrer=explore&traceInfo=957533d6-1063-478f-8467-d1f7ebbb673d
